Timestamp	ICMP Ping	rDNS	Serviceprobe	Hostprobes	Syncscan	TcpIP Fingerprint	Traceroute	IP Seq	
1341021600	0	0	64560687	0	0	0	0	0	
1341036000	0	0	74542583	0	0	0	0	0	
1341050400	0	0	89336015	0	0	0	0	0	
1341064800	0	0	79385870	0	0	0	0	0	
1341079200	0	0	70561757	0	0	0	0	0	
1341093600	0	0	70006093	0	0	0	0	0	
1341108000	0	0	64212738	0	0	0	0	0	
1341122400	0	0	51068217	0	0	0	0	0	
1341136800	0	0	42094239	0	0	0	0	0	
1341151200	0	0	52272918	0	0	0	0	0	
1341165600	0	0	59379523	0	0	0	0	0	
1341180000	0	0	76338283	0	0	0	0	0	
1341194400	0	0	80962744	0	0	0	0	0	
1341208800	0	0	82022338	0	0	0	0	0	
1341223200	0	0	75223626	0	0	0	0	0	
1341237600	0	0	56236381	0	0	0	0	0	
1341252000	0	0	42667955	0	0	0	0	0	
1341266400	0	0	43176371	0	0	0	0	0	
1341280800	0	0	41232244	0	0	0	0	0	
1341295200	0	0	49078443	0	0	0	0	0	
1341309600	0	0	75262340	0	0	0	0	0	
1341324000	0	0	87382819	0	0	0	0	0	
1341338400	0	0	71178241	0	0	0	0	0	
1341352800	0	0	69968126	0	0	0	0	0	
1341367200	0	0	56153455	0	0	0	0	0	
1341381600	0	0	47739138	0	0	0	0	0	
1341396000	0	0	68549396	0	0	0	0	0	
1341410400	0	0	82382273	0	0	0	0	0	
1341424800	0	0	97598414	0	0	0	0	0	
1341439200	0	0	95307134	0	0	0	0	0	
1341453600	0	0	77893861	0	0	0	0	0	
1341468000	0	0	47128190	0	0	0	0	0	
1341482400	0	0	33892379	0	0	0	0	0	
1341496800	0	0	16843415	0	0	0	0	0	
1341511200	0	0	6302373	0	0	0	0	0	
1341525600	0	0	14813234	0	0	0	0	0	
1341540000	0	0	46470530	0	0	0	0	0	
1341554400	0	0	52567152	0	0	0	0	0	
1341568800	0	0	63759925	0	0	0	0	0	
1341583200	0	0	77137128	0	0	0	0	0	
1341597600	0	0	71366820	0	0	0	0	0	
1341612000	0	0	59821011	0	0	0	0	0	
1341626400	0	0	68011372	0	0	0	0	0	
1341640800	0	0	77221365	0	0	0	0	0	
1341655200	0	0	61889095	0	0	0	0	0	
1341669600	0	0	0	0	0	0	0	0	
